set NODOS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

param orig := 1 ;
param dest := 15 ;
param alpha := 0.95 ;

param:  
	ARCOS:  
		tau_worst tau_best cost :=
         	 1 2 4 1 2		#preparar material
		 1 3 3 1 4		#preparar fogones
		 3 4 5 2 2		#organizar personal
		 2 5 0 0 0
		 3 5 0 0 0
		 4 5 0 0 0
		 5 6 2 1 3		#comanda
		 6 7 6 3 5		#primer plato
		 6 8 8 5 6		#segundo plato
		 6 9 10 6 7		#postres
		 7 10 4 2 3		#servir primer plato
		 8 11 5 1 2		#servir segundo plato
		 9 12 3 2 4		#servir postres
		 10 11 0 0 0		
		 11 12 0 0 0
		 12 13 7 3 4		#limpiar material
		 12 14 5 2 5		#limpiar cocina
		 13 15 0 0 0		
		 14 15 0 0 0
		 ;
